cpu_usage,memory_usage,response_time,error_rate,request_rate,label
71,75,207,0.06,609,0
34,50,171,0.133,172,1
91,65,526,0.163,381,1
80,83,469,0.161,459,1
40,86,122,0.14,109,1
94,30,333,0.194,310,1
94,92,209,0.051,251,1
43,83,139,0.181,104,1
22,84,546,0.155,294,1
41,69,366,0.224,382,1
72,44,596,0.212,563,1
21,50,546,0.079,212,1
49,76,424,0.069,370,1
57,82,461,0.245,262,1
21,38,332,0.132,559,1
83,81,135,0.227,204,1
79,86,542,0.041,655,1
40,55,536,0.161,381,1
52,70,162,0.202,261,1
95,64,178,0.237,450,1
77,92,228,0.084,533,1
41,54,408,0.181,239,1
68,67,235,0.135,570,1
78,31,269,0.015,231,1
61,36,573,0.172,186,1
79,63,342,0.173,282,1
99,46,159,0.233,467,1
34,72,479,0.124,228,1
81,88,339,0.058,345,1
81,80,180,0.011,677,1
66,83,438,0.104,477,1
81,53,459,0.075,248,1
70,54,300,0.19,532,1
74,81,499,0.089,568,1
83,99,203,0.237,545,1
22,62,501,0.241,580,1
70,78,310,0.155,393,1
26,58,142,0.232,242,1
40,92,564,0.19,349,1
92,51,562,0.137,401,1
58,55,598,0.045,124,1
37,57,234,0.115,169,1
23,78,171,0.14,211,1
79,78,534,0.216,463,1
33,49,589,0.12,402,1
28,92,262,0.224,570,1
72,90,465,0.169,190,1
21,78,484,0.034,629,1
79,30,325,0.249,291,1
90,42,550,0.132,651,1
63,80,502,0.098,341,1
27,85,144,0.165,237,1
66,91,92,0.027,444,1
54,61,292,0.159,279,1
97,59,321,0.125,602,1
55,58,572,0.102,302,1
69,78,292,0.238,672,1
23,74,417,0.131,291,1
21,59,252,0.055,104,0
25,45,243,0.115,336,1
73,69,544,0.23,410,1
23,48,576,0.044,648,1
73,47,474,0.053,155,1
82,30,387,0.003,542,1
37,76,262,0.004,336,0
63,95,589,0.207,296,1
53,67,306,0.183,684,1
93,80,515,0.089,670,1
81,92,501,0.175,613,1
33,33,100,0.099,548,0
67,30,476,0.238,459,1
34,37,184,0.242,129,1
91,58,271,0.098,207,1
97,84,96,0.214,544,1
81,32,199,0.193,537,1
59,61,472,0.077,556,1
99,39,504,0.058,594,1
72,63,208,0.115,346,1
43,84,209,0.195,642,1
45,61,108,0.24,663,1
79,79,176,0.191,687,1
60,36,89,0.214,538,1
48,37,321,0.151,377,1
34,94,311,0.209,651,1
64,86,363,0.196,210,1
84,96,279,0.094,484,1
90,88,158,0.138,290,1
28,83,252,0.201,589,1
20,96,546,0.012,525,1
27,80,495,0.202,504,1
82,37,528,0.044,434,1
30,63,166,0.129,308,1
27,64,180,0.202,121,1
54,61,87,0.063,307,0
54,75,279,0.061,107,0
52,45,584,0.101,628,1
24,97,166,0.224,265,1
60,66,122,0.0,595,0
47,83,464,0.225,689,1
26,43,514,0.038,528,1
92,84,487,0.248,262,1
91,77,562,0.239,465,1
31,36,96,0.124,625,1
53,36,227,0.128,338,1
52,62,356,0.12,171,1
67,52,311,0.159,544,1
42,48,445,0.023,608,1
81,48,307,0.008,368,1
56,65,515,0.014,514,1
63,58,478,0.111,344,1
54,89,290,0.069,159,1
84,31,470,0.156,105,1
66,30,578,0.248,669,1
97,76,570,0.097,506,1
22,98,521,0.143,316,1
20,49,340,0.104,125,1
24,40,429,0.212,104,1
33,31,431,0.226,631,1
46,96,599,0.219,489,1
28,41,399,0.244,670,1
98,49,217,0.007,547,1
34,34,447,0.21,245,1
61,66,299,0.188,487,1
96,67,416,0.057,348,1
70,38,302,0.239,625,1
82,82,439,0.037,561,1
71,73,408,0.17,112,1
23,53,542,0.056,483,1
42,59,461,0.108,655,1
34,88,248,0.18,498,1
62,43,296,0.141,118,1
48,38,457,0.107,674,1
55,69,198,0.082,590,0
32,95,269,0.21,518,1
51,54,449,0.036,436,1
90,51,228,0.108,518,1
78,33,567,0.226,221,1
47,55,453,0.211,531,1
85,87,239,0.1,143,1
61,58,430,0.191,416,1
64,66,367,0.206,480,1
81,99,367,0.222,244,1
76,47,305,0.136,426,1
25,71,352,0.051,462,1
47,70,481,0.064,149,1
47,67,262,0.074,164,0
63,63,567,0.148,454,1
49,46,203,0.008,263,0
81,66,493,0.159,240,1
94,54,251,0.091,227,1
81,56,367,0.074,497,1
20,86,514,0.22,562,1
46,60,192,0.115,286,1
81,35,201,0.024,289,1
96,69,301,0.207,487,1
22,41,118,0.012,528,0
89,82,576,0.182,383,1
91,39,312,0.193,336,1
46,74,228,0.088,293,0
28,46,476,0.206,386,1
81,55,381,0.129,235,1
56,91,439,0.116,270,1
70,75,317,0.011,258,0
63,93,315,0.073,300,1
43,31,282,0.233,586,1
98,83,335,0.098,656,1
78,94,314,0.137,682,1
51,80,424,0.133,603,1
71,82,545,0.148,470,1
81,65,292,0.015,202,1
77,55,542,0.091,224,1
71,58,515,0.181,412,1
31,50,362,0.05,557,1
58,40,542,0.051,329,1
21,69,486,0.003,296,1
22,40,167,0.109,522,1
75,65,123,0.221,671,1
78,88,540,0.013,270,1
21,68,357,0.048,481,1
21,83,500,0.078,272,1
73,84,432,0.183,552,1
20,53,594,0.16,449,1
38,51,98,0.104,593,1
21,98,102,0.19,103,1
72,85,492,0.152,192,1
63,62,109,0.224,105,1
51,65,187,0.205,387,1
89,49,446,0.063,245,1
51,91,360,0.068,523,1
87,55,207,0.031,556,1
74,95,308,0.084,301,1
94,69,190,0.25,311,1
75,46,215,0.101,105,1
36,30,441,0.055,475,1
57,90,265,0.191,546,1
43,72,208,0.136,205,1
88,71,340,0.037,500,1
89,54,594,0.095,195,1
30,68,528,0.104,487,1
35,64,183,0.188,551,1
92,32,562,0.005,515,1
78,73,303,0.067,603,1
89,80,570,0.129,553,1
99,41,552,0.067,390,1
22,48,89,0.157,633,1
39,73,484,0.12,292,1
78,88,381,0.09,249,1
55,78,310,0.237,614,1
38,90,145,0.158,492,1
86,46,191,0.032,415,1
38,86,92,0.14,175,1
39,84,472,0.195,698,1
90,76,579,0.177,369,1
71,41,313,0.043,324,0
52,91,393,0.243,629,1
59,37,91,0.112,212,1
58,50,288,0.04,350,0
20,99,93,0.045,332,1
30,54,497,0.025,182,1
76,41,516,0.201,224,1
69,44,456,0.031,274,1
42,88,99,0.031,168,1
50,55,149,0.213,146,1
61,55,290,0.086,355,0
26,76,180,0.008,129,0
35,61,211,0.013,380,0
79,39,460,0.036,336,1
21,45,211,0.053,347,0
20,46,99,0.166,467,1
67,52,306,0.039,594,0
31,55,233,0.03,124,0
88,36,548,0.191,685,1
56,43,484,0.168,589,1
51,36,281,0.109,593,1
28,38,117,0.137,413,1
38,77,267,0.078,474,0
67,88,136,0.121,124,1
99,68,99,0.127,433,1
22,47,352,0.097,454,1
39,88,198,0.227,215,1
43,46,595,0.004,147,1
73,43,300,0.196,198,1
52,60,594,0.031,558,1
43,53,415,0.199,622,1
94,89,134,0.154,696,1
91,74,579,0.211,504,1
55,32,241,0.024,313,0
57,66,238,0.14,602,1
44,72,267,0.125,547,1
37,69,139,0.177,675,1
85,84,398,0.134,357,1
73,68,290,0.135,220,1
54,44,485,0.107,153,1
99,33,188,0.077,430,1
80,54,155,0.121,340,1
60,42,393,0.03,629,1
52,62,196,0.24,582,1
87,45,98,0.179,286,1
52,71,511,0.238,361,1
33,95,429,0.057,463,1
40,84,262,0.22,590,1
67,71,192,0.202,530,1
39,63,262,0.169,338,1
27,59,560,0.156,403,1
26,42,225,0.079,397,0
86,42,192,0.204,175,1
36,47,555,0.125,432,1
52,61,382,0.018,573,1
67,68,197,0.078,382,0
95,75,240,0.234,690,1
78,58,480,0.213,171,1
41,91,277,0.245,362,1
49,91,339,0.157,674,1
57,86,126,0.062,111,1
70,45,478,0.041,240,1
73,85,157,0.047,654,1
27,39,203,0.005,116,0
46,59,154,0.098,162,0
46,54,216,0.048,352,0
40,34,479,0.103,564,1
49,94,584,0.234,475,1
47,78,579,0.108,619,1
83,32,217,0.219,189,1
88,74,129,0.151,274,1
